date,search
12/1/2019,65
12/2/2019,130
12/3/2019,144
12/4/2019,149
12/5/2019,164
12/6/2019,138
12/7/2019,143
12/8/2019,71
12/9/2019,74
12/10/2019,133
12/11/2019,145
12/12/2019,70
12/13/2019,78
12/14/2019,76
12/15/2019,74
12/16/2019,140
12/17/2019,133
12/18/2019,137
12/19/2019,128
12/20/2019,142
12/21/2019,86
12/22/2019,138
12/23/2019,131
12/24/2019,134
12/25/2019,130
12/26/2019,143
12/27/2019,137
12/28/2019,91
12/29/2019,139
12/30/2019,168
12/31/2019,399
1/1/2020,166
1/2/2020,143
1/3/2020,153
1/4/2020,143
1/5/2020,91
1/6/2020,151
1/7/2020,137
1/8/2020,133
1/9/2020,142
1/10/2020,133
1/11/2020,135
1/12/2020,137
1/13/2020,138
1/14/2020,142
1/15/2020,73
1/16/2020,144
1/17/2020,166
1/18/2020,73
1/19/2020,165
1/20/2020,167
1/21/2020,233
1/22/2020,199
1/23/2020,320
1/24/2020,193
1/25/2020,260
1/26/2020,180
1/27/2020,223
1/28/2020,212
1/29/2020,1648
1/30/2020,8203
1/31/2020,14402
2/1/2020,36450
2/2/2020,31199
2/3/2020,10646
2/4/2020,6269
2/5/2020,5942
2/6/2020,676290
2/7/2020,5007063
2/8/2020,839920
2/9/2020,318472
2/10/2020,189129
2/11/2020,118684
2/12/2020,153864
2/13/2020,107885
2/14/2020,74476
2/15/2020,74871
2/16/2020,52815
2/17/2020,52174
2/18/2020,50524
2/19/2020,47135
2/20/2020,42312
2/21/2020,39077
2/22/2020,36433
2/23/2020,35918
2/24/2020,30008
2/25/2020,27992
2/26/2020,25384
2/27/2020,30382
2/28/2020,31038
2/29/2020,24802
3/1/2020,24816
3/2/2020,22168
3/3/2020,27688
3/4/2020,21227
3/5/2020,32805
3/6/2020,22332
3/7/2020,20960
3/8/2020,18865
3/9/2020,17838
3/10/2020,16094
3/11/2020,15285
3/12/2020,16524
3/13/2020,16499
3/14/2020,18969
3/15/2020,16096
3/16/2020,15436
3/17/2020,14343
3/18/2020,13936
3/19/2020,88476
3/20/2020,68332
3/21/2020,25909
3/22/2020,20366
3/23/2020,15629
3/24/2020,13359
3/25/2020,17618
3/26/2020,12135
3/27/2020,12350
3/28/2020,16452
3/29/2020,12379
3/30/2020,11621
3/31/2020,10301
4/1/2020,10725
4/2/2020,23615
4/3/2020,28301
4/4/2020,122287
4/5/2020,28749
4/6/2020,17640
4/7/2020,12396
4/8/2020,10859
4/9/2020,9467
4/10/2020,8296
4/11/2020,8885
4/12/2020,8158
4/13/2020,6475
4/14/2020,6014
4/15/2020,6363
4/16/2020,6251
4/17/2020,6567
4/18/2020,7793
4/19/2020,10794
4/20/2020,14629